hammering hammer
magnetisation magnetise
conglobation conglobe
jump jump
stipulation stipulate
commander command
etymologizing etymologize
bolt bolt
transubstantiation transubstantiate
typewriting typewrite
peg peg
severing sever
hypostatization hypostatize
crackling crackle
sniffer sniff
fueling fuel
celebrant celebrate
visitant visit
effector effect
wheedling wheedle
straggler straggle
cull cull
sprint sprint
hearing hear
devilment devil
ranting rant
garnishment garnish
aphorism aphorise
anointment anoint
atrophy atrophy
huddler huddle
infix infix
cooper cooper
impoundment impound
blasphemer blaspheme
appraiser appraise
cannulization cannulate
crammer cram
combine combine
jingle jingle
single_crochet single_crochet
queen queen
sauteing saute
propaganda propagandise
chronicler chronicle
fillet fillet
neglect neglect
adviser advise
warehousing warehouse
fruitage fruit
resonator resonate
extractor extract
ginger ginger
requisition require
source source
neutralisation neutralise
saunterer saunter
verb verbify
submergence submerge
arrest arrest
diffusion diffuse
scream scream
twiddle twiddle
radiation radiate
tootle tootle
coiffure coiffure
compartment compartmentalize
Death die
chug chug
sustainment sustain
jewellery jewel
crook crook
encampment encamp
tapper tap
grumble grumble
ticket ticket
airlift airlift
patron patronise
induration indurate
swabbing swab
walkout walk_out
hymn hymn
bargain bargain
notch notch
clunk clunk
debasement debase
kicker kick
reminder remind
view view
ruin ruin
pack pack
list list
document document
pit pit
laceration lacerate
title title
prevision previse
triplicate triple
sassing sass
ramble ramble
toleration tolerate
interrupter interrupt
furlough furlough
descant descant
trustee trust
finalization finalize
ferret ferret
graft graft
whiner whine
lampooner lampoon
zipper zipper
partition partition
ruffle ruffle
patch patch
resuspension resuspend
aliment aliment
maculation maculate
milling mill
preformation preform
foraging forage
submission submit
avowal avow
prepossession prepossess
soap soap
bromine brominate
tincture tinge
twitching twitch
flyer fly
convalescent convalesce
pollard poll
ford ford
green green
vesiculation vesiculate
switch switch
ground ground
caring care
ideal idealise
flare flare
jug jug
stridulation stridulate
thumb thumb
departure depart
slumber slumber
smash smash
loafer loaf
bypass bypass
overpopulation overpopulate
stylist style
lurch lurch
hideout hide_out
scoffing scoff
compilation compile
share share
composer compose
naming name
butter butter
wangling wangle
piracy pirate
groom groom
storm storm
dirtying dirty
pride pride
carbon carbonate
crystallization crystallize
bombproof bombproof
mimeo mimeo
wakening waken
ally ally
euphemism euphemize
honeycomb honeycomb
bewitchery bewitch
espousal espouse
startle startle
exteriorization exteriorize
emission emit
charger charge
phlebotomy phlebotomize
hold hold
spraying spray
hearer hear
stake stake
concentration concentrate
saw saw
make-up make_up
stinging sting
uplifting uplift
pretending pretend
paint paint
flub flub
dreamer dream
sponge sponge
place-kicking place-kick
understanding understand
hex hex
capacity capacitate
anticipator anticipate
equal equate
supplanting supplant
undervaluation undervalue
disappointment disappoint
concert concertize
monopoly monopolize
miff miff
skater skate
bind bind
testimony testify
palisade palisade
querier query
necessity necessitate
shutting shut
fight fight
familiarization familiarize
applicant apply
budget budget
seam seam
sower sow
asseverator asseverate
Roneo roneo
crime criminalise
cruise cruise
screw screw
whistling whistle
quibble quibble
peel peel
sedation sedate
water-skiing water_ski
classification classify
brine brine
glutton gluttonize
helping help
cozenage cozen
segregator segregate
trace trace
vendor vend
slaughter slaughter
skinner skin
mortgage mortgage
amercement amerce
howl howl
dissemination disseminate
waterer water
opal opalize
nitrate nitrify
marbleizing marbleize
trifling trifle
cheating cheat
repletion replete
insufflation insufflate
patroller patrol
workout work_out
belay belay
marveller marvel
flourish flourish
fume fume
square_dance square_dance
refilling refill
disgorgement disgorge
reasoner reason
tussle tussle
gangrene gangrene
uniform uniform
dosser doss
constellation constellate
archaism archaize
set set
blocking block
ballup ball_up
supinator supinate
heater heat
fire fire
double_cross double_cross
maraud maraud
chamber chamber
adulterator adulterate
slit slit
scourge scourge
opalescence opalesce
quartering quarter
spot-welder spotweld
jamming jam
solver solve
ratchet ratchet
plop plop
blacktop blacktop
shaman shamanize
indorsement indorse
convalescence convalesce
Pasteur pasteurize
condolence condole
terrorization terrorize
symbol symbolize
dodger dodge
outfitter outfit
proofreader proofread
chairman chairman
hunger hunger
saber saber
jam jam
disinvestment disinvest
chunking chunk
animadversion animadvert
correction correct
congratulation congratulate
whimper whimper
buttress buttress
seer see
container contain
barbarization barbarize
revisal revise
photograph photograph
dialyzer dialyze
fox fox
publicist publicize
chasse chasse
following follow
blarney blarney
glue glue
dethronement dethrone
synchronizing synchronize
transmission transmit
antic antic
veto veto
augury inaugurate
cant cant
education educate
memorization memorize
raver rave
sell sell
admonishment admonish
rocket rocket
puddler puddle
minter mint
partner partner
dung dung
annex annex
mirror mirror
spelling spell
tension tense
guarantor guarantee
invention invent
observation observe
sailing sail
vacationer vacation
disablement disable
slope slope
mender mend
retch retch
localization localize
clustering cluster
drawee draw
washer wash
beating beat
prorogation prorogue
guesser guess
popularisation popularise
supping sup
graph graph
empowerment empower
subjoining subjoin
impeller impel
speeding speed
Crusade crusade
emulsifier emulsify
pervasion pervade
attender attend
taboo taboo
voucher vouch
favour favour
scouter scout
frost frost
turndown turn_down
solution solve
channelisation channel
repulse repulse
authorisation authorise
bindery bind
glide glide
merit merit
shooter shoot
symbolizing symbolize
griddle griddle
sweat sweat
stencil stencil
criminal criminalize
slave slave
sick sick
cipher cipher
iodination iodize
rollover roll_over
crocheting crochet
flavoring flavor
term term
insert insert
sugar sugar
paving pave
impact impact
lumber lumber
sense sensify
sonant sound
brad brad
slicer slice
aspirator aspirate
cheep cheep
dupery dupe
ornament ornament
crank crank
mess-up mess_up
bragger brag
flattery flatter
burglary burgle
brim brim
conferee confer
stimulus stimulate
clamour clamour
forge forge
conductor conduct
sloughing slough
denier deny
intermediation intermediate
spoiling spoil
drag drag
incubation incubate
ignorance ignore
hydrolysis hydrolise
masturbation masturbate
obstinance obstinate
kissing kiss
optimum optimise
darner darn
haranguer harangue
expunction expunge
split split
stowage stow
hoop hoop
clowning clown
cocain cocainize
memory memorise
jolt jolt
recount recount
burlesque burlesque
sleeper sleep
staff staff
monopolisation monopolise
ordering order
succeeder succeed
assaulter assault
archaism archaise
attacker attack
cognisance cognise
particularisation particularise
fate fate
misstatement misstate
armour armour
blight blight
mailer mail
instrument instrumentate
pollutant pollute
misinterpretation misinterpret
alternation alternate
saying say
caliber calibrate
draftee draft
stratum stratify
pillow pillow
antecedency antecede
fecundation fecundate
grounding ground
proliferation proliferate
reaffirmation reaffirm
wag wag
incorporation incorporate
procural procure
augur augur
normaliser normalise
incubator incubate
guillotine guillotine
inebriation inebriate
anesthetic anesthetize
whisk whisk
informing inform
travel travel
titre titrate
transfusion transfuse
brown brown
typing type
shape shape
roundup round_up
satire satirize
respite respite
barber barber
martyr martyrize
load load
pestle pestle
fibbing fib
originator originate
better better
fusion fuse
stowaway stow_away
filigree filigree
nester nest
persistency persist
abominator abominate
verbalization verbalize
corbel corbel
endeavor endeavor
vitrification vitrify
dieter diet
adjuster adjust
contravention contravene
complainer complain
rigger rig
opacification opacify
mummy mummify
pasteurisation pasteurise
parer pare
tattoo tattoo
replay replay
squeeze squeeze
tankage tank
discernment discern
steering steer
whirler whirl
wedding wed
drone drone
paper paper
crimp crimp
purport purport
precipitation precipitate
betrayal betray
complement complement
exporting export
flagellum flagellate
imaging image
contrast contrast
tempter tempt
pouch pouch
haul haul
oxidant oxidize
steamroller steamroller
portion portion
exfoliation exfoliate
renege renege
dismantlement dismantle
supporter support
denotation denote
souse souse
decantation decant
internee intern
wanton wanton
negation negate
idler idle
cushion cushion
skydiver skydive
buzz buzz
devaluation devaluate
accusation accuse
forecast forecast
stabilisation stabilise
fosterage foster
butt butt
riff riff
bridle bridle
skewer skewer
centre centre
medicine medicate
uprooter uproot
mangle mangle
stockpiling stockpile
track track
inundation inundate
compare compare
wrangle wrangle
evidence evidence
heaving heave
hyperbole hyperbolize
capturer capture
demobilization demobilize
disillusion disillusion
decedent decease
respect respect
appearance appear
falsification falsify
procreation procreate
arbiter arbitrate
scramble scramble
masker mask
projector project
poet poetise
lipreading lipread
perjury perjure
dieting diet
conjugate conjugate
shit shit
sweeper sweep
tally tally
embrace embrace
aversion avert
ejaculator ejaculate
case case
sit-up sit_up
post post
hypnosis hypnotize
kotow kotow
incrustation incrust
finance finance
fermenting ferment
despoilment despoil
fluoride fluoridate
spat spat
sensitiser sensitise
spade spade
overcharge overcharge
rambler ramble
flight flee
azure azure
dweller dwell
lander land
ennoblement ennoble
inflammation inflame
fabricator fabricate
drippings drip
knocking knock
spin spin
signpost signpost
bandage bandage
destroyer destroy
preoccupation preoccupy
delight delight
possession possess
growl growl
hurler hurl
dancer dance
twist twist
chart chart
chain chain
utility utilise
dictate dictate
stinter stint
brew brew
decimalisation decimalise
holystone holystone
recapitulation recapitulate
stockpile stockpile
demagnetization demagnetize
telepathy telepathize
cartage cart
kidnaper kidnap
elect elect
rearrangement rearrange
harborage harbor
pressure press
surface surface
cascade cascade
stapler staple
conciliator conciliate
reading read
lounger lounge
dragger drag
dialysis dialyze
neutering neuter
poleax poleax
bend bend
imprisonment imprison
nitrogen nitrogenize
hypertrophy hypertrophy
trouncing trounce
tinning tin
pillory pillory
splinter splinter
disarray disarray
screech screech
kicking kick
signer sign
granter grant
cure cure
halloo halloo
clouding cloud
tender tend
edification edify
purging purge
locale localize
petrifaction petrify
soak soak
subcontract subcontract
peal peal
hint hint
go go
blacktopping blacktop
poll poll
perceiver perceive
picket picket
flounce flounce
demagnetisation demagnetise
piping pipe
junketing junket
preamble preamble
rider ride
banker bank
wangle wangle
bungle bungle
glamor glamorize
warder ward
ghost ghost
register register
annotator annotate
disarrangement disarrange
ideation ideate
overrefinement overrefine
updating update
wish wish
sympathiser sympathise
loader load
glass glass
portraiture portray
bugger bugger
cicatrix cicatrise
harvest harvest
freeze freeze
conservation conserve
detecting detect
din din
maneuverer maneuver
creak creak
walloper wallop
marriage marry
blur blur
double_check double-check
dribbling dribble
wrench wrench
ventilation ventilate
repeal repeal
talc talc
ducking duck
disseminator disseminate
reducing reduce
voiding void
meeting meet
slogger slog
etcher etch
flocculation flocculate
stir stir
officer officer
expansion expand
cannulisation cannulize
affiliate affiliate
speculator speculate
test test
paltering palter
using use
skulking skulk
adjudicator adjudicate
stall stall
observer observe
advancement advance
dive-bombing dive-bomb
pain pain
pulling pull
actuator actuate
destalinization destalinize
idol idolise
waving wave
play play
handle handle
sensitizer sensitize
digger dig
habit habituate
overhang overhang
settler settle
lecture lecture
assailant assail
entering enter
relapse relapse
federalisation federalise
foray foray
package package
decrescendo decrescendo
pool pool
reinforcer reinforce
climber climb
penetration penetrate
reevaluation reevaluate
nurture nurture
cave_in cave_in
rendition render
vanquisher vanquish
fastener fasten
italic italicise
sculler scull
pamperer pamper
dose dose
ostentation ostentate
discoloration discolor
hitting hit
bawler bawl
impendency impend
scent scent
vociferator vociferate
bounce bounce
ratting rat
isolation isolate
lying lie
inebriant inebriate
plunger plunge
piece piece
formalisation formalise
tumbler tumble
launcher launch
route route
signifier signify
lance lance
bluff bluff
polishing polish
double-crosser double_cross
sight sight
marketer market
decarboxylation decarboxylate
inclusion include
dalliance dally
congregation congregate
timer time
potentiation potentiate
welcome welcome
approver approve
celebrator celebrate
construction construct
crossing cross
investiture invest
dilutant dilute
drink drink
surprise surprise
fornicator fornicate
soldiery soldier
plasticiser plasticise
tout tout
quaff quaff
refraction refract
whine whine
legislature legislate
kill kill
communization communize
pretense pretend
spark spark
waitress waitress
wreck wreck
verification verify
taking take
tenantry tenant
dash dash
redevelopment redevelop
couple couple
squinter squint
abstraction abstract
yoke yoke
endorsement endorse
existence exist
beacon beacon
migrant migrate
transplant transplant
wiggler wiggle
stoner stone
provision provision
fringe fringe
buying buy
rhyme rhyme
vesture vesture
shirking shirk
injunction enjoin
sandblaster sandblast
clampdown clamp_down
truckling truckle
rigout rig_out
murk murk
flier fly
jerk-off jerk_off
snacker snack
groove groove
instigation instigate
dropper drop
beaner bean
scurry scurry
traverse traverse
value valuate
averment aver
server serve
vivisection vivisect
chorus chorus
forewarning forewarn
judiciary judge
concept conceive
bed bed
recreation recreate
enjoyer enjoy
objectification objectify
sweeping sweep
motorization motorize
clapboard clapboard
hospitalisation hospitalise
imprinting imprint
lodging lodge
snare snare
homestead homestead
spook spook
liquidizer liquidize
brokerage broker
eulogy eulogise
sop sop
dresser dress
fertilizer fertilize
telling tell
shank shank
splintering splinter
refresher refresh
defrauder defraud
pantomimer pantomime
mix mix
privilege privilege
cerebration cerebrate
inquiry inquire
defenestration defenestrate
injector inject
apostrophe apostrophize
ejaculate ejaculate
stamper stamp
cabin cabin
burden burden
perusal peruse
cord cord
pardon pardon
marker mark
kick_starter kick-start
soakage soak
dissertation dissertate
pulse pulsate
fizz fizz
incarceration incarcerate
instillator instill
escapee escape
curtain curtain
report report
climb climb
commercialization commercialize
noticer notice
kneel kneel
committal commit
heap heap
class classify
assurance assure
twang twang
receptor receive
floating float
achiever achieve
reclining recline
thinning thin
lamb lamb
blackmail blackmail
hijack hijack
interlocking interlock
farrowing farrow
savvy savvy
puff puff
double double
brewage brew
hypophysectomy hypophysectomize
warmer warm
convener convene
postposition postpose
supervention supervene
vanisher vanish
unsanctification unsanctify
scattering scatter
restriction restrict
birdlime birdlime
thread thread
founding found
intensifier intensify
blink blink
reconstruction reconstruct
enjoyment enjoy
ban ban
envy envy
saturation saturate
home home
degeneration degenerate
indexation index
inhalation inhale
tenderizer tenderize
elopement elope
triple triple
defence defend
birch birch
inflator inflate
granulation granulate
sprawl sprawl
nitric_acid nitrify
write-off write_off
deception deceive
knockdown knock_down
jeopardy jeopardise
robbery rob
transference transfer
localisation localise
turnoff turn_off
pleating pleat
place-kicker place-kick
commutation commute
smart smart
intimation intimate
bottler bottle
value evaluate
licence licence
subscriber subscribe
interrelation interrelate
plastination plastinate
socialization socialize
fume fumigate
railroad railroad
stagger stagger
darkening darken
incandescence incandesce
touch touch
skimming skim
lobby lobby
harrow harrow
gambler gamble
scoop scoop
anthropomorphism anthropomorphise
ski_jump ski_jump
rafter rafter
canton canton
lapidation lapidate
wiretap wiretap
shine shine
shred shred
abjuration abjure
distinction distinguish
twiddler twiddle
highlight highlight
double_date double-date
person personify
recoverer recover
subordination subordinate
cobbling cobble
catheterization catheterise
plagiariser plagiarise
revise revise
tinge tinge
alteration alter
chalk chalk
sledding sled
symboliser symbolise
substitute substitute
coloration color
emulator emulate
loan loan
exposition exposit
leach leach
rasping rasp
coercion coerce
league league
exhalation exhale
placation placate
immigrant immigrate
vaccinating vaccinate
slip-on slip_on
yeller yell
curler curl
blackball blackball
follow-through follow_through
atom atomise
limit limit
Catholicism catholicize
rule rule
castration castrate
grass grass
rearmament rearm
diving dive
slacking slack
dehumanization dehumanize
stagnancy stagnate
enunciation enunciate
lope lope
addressee address
flex flex
supplicant supplicate
damnation damn
exacerbation exacerbate
machine machine
preconception preconceive
referee refer
contraindication contraindicate
mortgagor mortgage
desolation desolate
denationalization denationalize
smacking smack
standardization standardize
chap chap
President preside
gossiper gossip
acetyl acetylate
hatch hatch
repentance repent
use use
usher usher
grease grease
surrender surrender
troll troll
abomination abominate
wear wear
polka polka
hectograph hectograph
pissing piss
veneration venerate
enrolment enrol
character characterise
ideal idealize
glamour glamourise
iodine iodize
sighting sight
revoke revoke
fury infuriate
explosion explode
vowel vowelize
bop bop
lithograph lithograph
lodge lodge
pontifex pontificate
submersion submerge
reenactment reenact
applier apply
moonlighter moonlight
evanescence evanesce
fixing fix
scratcher scratch
authentication authenticate
ease ease
wassailer wassail
temper temper
flanker flank
user use
disembarrassment disembarrass
infiltrator infiltrate
subsidiser subsidise
ripple ripple
bodyguard body_guard
crash crash
transfiguration transfigure
clabber clabber
widow widow
telex telex
postulate postulate
firing fire
imagery image
ovum ovulate
electorate elect
bicyclist bicycle
acumen acuminate
dredger dredge
predation predate
abuse abuse
motive motivate
thermostat thermostat
payment pay
landscaping landscape
devastation devastate
whipsaw whipsaw
hyphen hyphenate
allowance allowance
strangulation strangle
wrester wrest
hurdle hurdle
witnesser witness
swerve swerve
boxer box
mongrel mongrelize
climate acclimate
withholding withhold
unification unify
nuke nuke
key key
bruiser bruise
vacillator vacillate
segment segment
leaven leaven
payee pay
scan scan
galvaniser galvanise
eroding erode
step step
padlock padlock
alliteration alliterate
whir whir
sharpener sharpen
adjustor adjust
enfranchisement enfranchise
connector connect
posting post
submerging submerge
compartmentalization compartmentalize
crown coronate
speckle speckle
pleading plead
calibration calibrate
pickle pickle
adaptor adapt
empathy empathize
plower plow
nod nod
exchanger exchange
disfranchisement disfranchise
enchantment enchant
falsifier falsify
faker fake
bag bag
pervaporation pervaporate
heaver heave
stalling stall
habituation habituate
hunting hunt
mopping mop
pivot pivot
digestion digest
neuter neuter
navigator navigate
emplacement emplace
gainer gain
excise excise
detractor detract
brandish brandish
drill drill
cohabitation cohabit
reader read
puzzle puzzle
requirement require
MapQuest mapquest
transshipment transship
percolation percolate
ricochet ricochet
lender lend
demo demo
redeemer redeem
rubber-necking rubberneck
vow vow
breathing breathe
whiz whiz
reward reward
produce produce
pounce pounce
cauterant cauterize
smuggling smuggle
jaunt jaunt
injectant inject
trimming trim
syllable syllabify
valuation valuate
hooter hoot
drowse drowse
stain stain
signaller signal
city citify
jeerer jeer
premiss premiss
igniter ignite
flock flock
anatomy anatomise
importing import
consecration consecrate
distention distend
listing list
Call call
predomination predominate
closer close
hob hob
arbor arborise
decease decease
burial bury
faint faint
hose hose
abstinence abstain
intersection intersect
parachute parachute
heckler heckle
determination determine
spoliation spoil
allurement allure
challenge challenge
transducer transduce
performing perform
subtitle subtitle
colorist color
reliever relieve
air aerify
dismay dismay
snaffle snaffle
dillydallier dillydally
intent intend
stride stride
confession confess
feed feed
presumption presume
alarm alarm
waking wake
mutilation mutilate
manure manure
opening open
derivation derive
immolation immolate
gerrymander gerrymander
hamper hamper
clear clear
shredder shred
counterfeiter counterfeit
soot soot
panel panel
tranquilizer tranquilize
lyophilization lyophilize
covariance co-vary
associate associate
replacing replace
breeze breeze
convoy convoy
fuse fuse
neigh neigh
temporiser temporise
scab scab
palpebra palpebrate
intromission intromit
help help
ski ski
trainer train
proposal propose
canonization canonize
leverage lever
eructation eruct
cha-cha cha-cha
advertency advert
spoof spoof
mollification mollify
insistence insist
starving starve
puller pull
envelopment envelop
plastering plaster
blindfold blindfold
shunt shunt
knit knit
breccia brecciate
depreciator depreciate
jive jive
disclaimer disclaim
hallucination hallucinate
ray ray
hate hate
christening christen
madrigal madrigal
perfusion perfuse
simperer simper
luncher lunch
misbehavior misbehave
Education educate
inhalant inhale
shadower shadow
birr birr
vellication vellicate
bin bin
sifter sift
mutant mutate
coughing cough
dot dot
superfetation superfetate
enjoinment enjoin
sublimate sublimate
slowdown slow_down
rest rest
arbitrager arbitrage
stammerer stammer
upstager upstage
assassination assassinate
dogmatist dogmatize
focusing focus
wilt wilt
hijacker hijack
mutterer mutter
hyphen hyphen
sticker stick
bench bench
rating rate
loading load
nest nest
honoring honor
disobedience disobey
peak peak
romanticisation romanticise
prostration prostrate
handicapper handicap
deceleration decelerate
understudy understudy
censor censor
prearrangement prearrange
coherence cohere
pealing peal
winning win
keynote keynote
screen screen
illustration illustrate
thieving thieve
shifter shift
levy levy
bombination bombinate
slam_dance slam_dance
sleuthing sleuth
covenant covenant
shoplifter shoplift
ace ace
takedown take_down
sawyer saw
tangle tangle
retard retard
snap snap
segmentation segment
rumor rumor
foreground foreground
recounting recount
headline headline
tune tune
withdrawer withdraw
installing install
homer homer
disprover disprove
adventure adventure
invalidator invalidate
dump dump
witch witch
individualization individualize
function function
lapidator lapidate
breaststroker breaststroke
regeneration regenerate
emergence emerge
endeavour endeavour
jacket jacket
motorist motor
appellant appeal
sendee send
pecker peck
asserter assert
idealisation idealise
medicine medicine
ax ax
interception intercept
agreement agree
rebuilding rebuild
acclimatisation acclimatise
sermon sermonize
murder murder
slackening slacken
desquamation desquamate
reproacher reproach
mount mount
prattler prattle
dallier dally
mandate mandate
prompting prompt
irritant irritate
speciation speciate
moult moult
reception receive
reexamination reexamine
posture posture
striker strike
seaplane seaplane
feather feather
dilution dilute
heating heat
marbleisation marbleise
vitiation vitiate
turn-on turn_on
nestle nestle
stroking stroke
twitch twitch
whittler whittle
crystallizing crystallize
quarterback quarterback
scribble scribble
grating grate
dating date
triple-spacing triple-space
metal metal
certificate certificate
embodiment embody
decadent decay
housekeeping housekeep
delimitation delimitate
bray bray
diagnosing diagnose
collar collar
bristle bristle
hiding hide
hankering hanker
fricassee fricassee
corn corn
streetwalker streetwalk
settlement settle
obturator obturate
record record
mill mill
catheter catheterise
counsel counsel
shelter shelter
distance distance
repute repute
wrapper wrap
victim victimise
amalgamator amalgamate
sucking suck
devotee devote
individual individualize
display display
popping pop
syncretism syncretize
publication publish
entombment entomb
fear fear
bur bur
pink pinkify
affirmation affirm
reducer reduce
focalization focalize
tying tie
miner mine
hatchery hatch
provoker provoke
muzzle muzzle
initiate initiate
voice voice
expender expend
reasoning reason
carom carom
inspiration inspire
bearing bear
militarisation militarise
footnote footnote
excavation excavate
punting punt
enlargement enlarge
destination destine
imparting impart
crease crease
tourney tourney
resemblance resemble
riot riot
rumbling rumble
pulverization pulverize
satisfaction satisfy
inhumation inhume
currycomb currycomb
disputant dispute
redress redress
carriage carry
acknowledgment acknowledge
reflation reflate
reinsurance reinsure
empty empty
dramatist dramatise
Stalinisation stalinise
maneuver maneuver
roper rope
advertizer advertize
crush crush
auscultation auscultate
single-foot single-foot
callback call_back
viewer view
bleach bleach
swill swill
crab crab
changer change
limp limp
hum hum
spot_welding spot-weld
gown gown
rub rub
amputation amputate
exceedance exceed
apology apologise
drape drape
masquerader masquerade
prey prey
procession proceed
translator translate
disrespect disrespect
malnourishment malnourish
discomfiture discomfit
melt melt
deflection deflect
creature create
bastardization bastardize
conferral confer
stretching stretch
exploitation exploit
twit twit
foul foul
relapsing relapse
garner garner
dry_cleaning dry_clean
feud feud
drift drive
officiating officiate
straw straw
pisser piss
devitalisation devitalise
lead lead
structure structure
intrigue intrigue
easing ease
estrangement estrange
imbiber imbibe
risk risk
slip slip
billow billow
straightener straighten
mist mist
dogsled dogsled
plagiarism plagiarize
revitalization revitalize
network network
copier copy
bloomer bloom
waddle waddle
strewing strew
generalization generalize
faltering falter
nitric_acid nitrate
condonation condone
snort snort
economiser economise
check-in check_in
implant implant
attestation attest
sibilant sibilate
boiler boil
tailgater tailgate
magnetization magnetize
exteriorisation exteriorise
screecher screech
oxidation oxidate
programme programme
maximum maximize
